variable,roi,hemi,medida,outcome,n,rho,p,ic_low,ic_high,covariables,rho_MPPP,n_MPPP,rho_Vestibular,n_Vestibular,familia_fdr,etapa,p_fdr,sobrevive_fdr,n_familia,grupos_mismo_signo,grupos_validos,coherente
8_isthmuscingulate_volume_rh,Istmo del cíngulo,rh,volume,Niigata,31,-0.07250807447849114,0.7192893558920032,-0.4659658414410711,0.3381602406082976,Edad+Genero+Grupo+eTIV,-0.03587045896097764,14,0.10976013506755972,17,volume_Niigata,B,0.9181909840212382,False,86,1,2,False
8_isthmuscingulate_volume_rh,Istmo del cíngulo,rh,volume,DHI,30,-0.2716526417214659,0.17945174953425458,-0.6017486764121478,0.15137882392137633,Edad+Genero+Grupo+eTIV,-0.38529543027108054,13,-0.25722927113615224,17,volume_DHI,B,0.7655335340193865,False,86,2,2,True
8_isthmuscingulate_LGI_lh,Istmo del cíngulo,lh,LGI,Niigata,31,-0.2737237367948103,0.15869923991366675,-0.5659308901621409,0.10360907573728051,Edad+Genero+Grupo,-0.25255695960903096,14,-0.33615863387526546,17,LGI_Niigata,B,0.8589746913190814,False,32,2,2,True
8_isthmuscingulate_LGI_lh,Istmo del cíngulo,lh,LGI,DHI,30,-0.29511847166674876,0.1350622679350721,-0.6337507866443065,0.1382814237943985,Edad+Genero+Grupo,-0.5498005104951756,13,-0.07850630956908541,17,LGI_DHI,B,0.9159612902733524,False,32,2,2,True
8_isthmuscingulate_LGI_rh,Istmo del cíngulo,rh,LGI,Niigata,31,-0.24073497517870796,0.2171958811876374,-0.5480198122142131,0.12704254370986331,Edad+Genero+Grupo,-0.164777434782671,14,-0.17702998251839808,17,LGI_Niigata,B,0.8687835247505497,False,32,2,2,True
8_isthmuscingulate_LGI_rh,Istmo del cíngulo,rh,LGI,DHI,30,-0.2662540460544925,0.17946227541915122,-0.601799213829713,0.1630522289188618,Edad+Genero+Grupo,-0.7037053133980758,13,0.0793719054061747,17,LGI_DHI,B,0.9159612902733524,False,32,1,2,False
9_superiorparietal_thickness_lh,Parietal superior,lh,thickness,Niigata,31,-0.29692231819234766,0.124937906133227,-0.6039283974271445,0.09494303685784361,Edad+Genero+Grupo,-0.7331842996195893,14,-0.1352547203146534,17,thickness_Niigata,B,0.16658387484430268,False,32,2,2,True
9_superiorparietal_thickness_lh,Parietal superior,lh,thickness,DHI,30,-0.28999635846272465,0.1422924788539693,-0.6313758004019248,0.1468545369210701,Edad+Genero+Grupo,-0.3623148788344965,13,-0.30588368078520306,17,thickness_DHI,B,0.18972330513862576,False,32,2,2,True
9_superiorparietal_thickness_rh,Parietal superior,rh,thickness,Niigata,31,-0.48377137835713907,0.00910031409731759,-0.7413939913390594,-0.1176923448360791,Edad+Genero+Grupo,-0.2831214173369483,14,-0.590785416552425,17,thickness_Niigata,B,0.04380851548734433,True,32,2,2,True
9_superiorparietal_thickness_rh,Parietal superior,rh,thickness,DHI,30,-0.4721271119684847,0.012901112063399429,-0.7097420501359767,-0.03738062577135754,Edad+Genero+Grupo,-0.1609386447304516,13,-0.7150375740788762,17,thickness_DHI,B,0.03440296550239848,True,32,2,2,True
